date,sku_id,true_demand,point_forecast,interval_lower,interval_upper,alpha_t,reliability_score,risk_tier,escalation,safety_stock_aci,safety_stock_qr,is_volatile,calibration_health,covered
2015-10-01,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1042,68.1,High,Escalate to Procurement,5.33,2.6,1,At-Target,1
2015-10-02,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1043,68.1,High,Escalate to Procurement,5.33,2.61,1,At-Target,1
2015-10-03,FOODS_1_049_TX_2_evaluation,3.0,0.0,-2.0,2.0,0.1044,66.3,High,Escalate to Procurement,5.33,2.7,1,At-Target,0
2015-10-04,FOODS_1_049_TX_2_evaluation,4.0,0.0,-2.0,2.0,0.1035,64.5,High,Escalate to Procurement,5.33,2.64,1,At-Target,0
2015-10-05,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1026,64.6,High,Escalate to Procurement,5.32,2.66,1,At-Target,1
2015-10-06,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1027,64.5,High,Escalate to Procurement,5.32,3.12,1,At-Target,1
2015-10-07,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1028,64.5,High,Escalate to Procurement,5.32,2.64,1,At-Target,1
2015-10-08,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1029,64.5,High,Escalate to Procurement,5.32,2.64,1,At-Target,1
2015-10-09,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.103,64.5,High,Escalate to Procurement,5.32,2.6,1,At-Target,1
2015-10-10,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1031,64.5,High,Escalate to Procurement,5.32,3.1,1,At-Target,1
2015-10-11,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1032,64.5,High,Escalate to Procurement,5.32,2.68,1,At-Target,1
2015-10-12,FOODS_1_049_TX_2_evaluation,2.0,0.0,-2.0,2.0,0.1033,64.5,High,Escalate to Procurement,5.33,2.52,1,At-Target,1
2015-10-13,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1034,64.5,High,Escalate to Procurement,5.33,3.06,1,At-Target,1
2015-10-14,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1035,64.5,High,Escalate to Procurement,5.33,3.04,1,At-Target,1
2015-10-15,FOODS_1_049_TX_2_evaluation,2.0,0.0,-2.0,2.0,0.1036,64.5,High,Escalate to Procurement,5.33,3.06,1,At-Target,1
2015-10-16,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1037,64.5,High,Escalate to Procurement,5.33,3.08,1,At-Target,1
2015-10-17,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1038,64.5,High,Escalate to Procurement,5.33,3.13,1,At-Target,1
2015-10-18,FOODS_1_049_TX_2_evaluation,4.0,0.0,-2.0,2.0,0.1039,64.5,High,Escalate to Procurement,5.33,3.05,1,At-Target,0
2015-10-19,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.103,64.5,Medium,Manual Review,5.32,3.43,1,At-Target,1
2015-10-20,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1031,64.5,Medium,Manual Review,5.32,3.34,1,At-Target,1
2015-10-21,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1032,64.5,Medium,Manual Review,5.32,3.46,1,At-Target,1
2015-10-22,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1033,64.5,Medium,Manual Review,5.33,3.49,1,At-Target,1
2015-10-23,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1034,64.5,Medium,Manual Review,5.33,3.63,1,At-Target,1
2015-10-24,FOODS_1_049_TX_2_evaluation,0.0,0.9,-1.1,2.9,0.1035,64.5,Medium,Manual Review,5.33,3.51,1,At-Target,1
2015-10-25,FOODS_1_049_TX_2_evaluation,0.0,0.9,-1.1,2.9,0.1036,64.5,Medium,Manual Review,5.33,3.57,1,At-Target,1
2015-10-26,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1037,64.5,High,Escalate to Procurement,5.33,2.3,1,At-Target,1
2015-10-27,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1038,64.5,High,Escalate to Procurement,5.33,2.04,1,At-Target,1
2015-10-28,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1039,64.5,High,Escalate to Procurement,5.33,1.46,1,At-Target,1
2015-10-29,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.104,64.5,High,Escalate to Procurement,5.33,2.01,1,At-Target,1
2015-10-30,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1041,64.5,High,Escalate to Procurement,5.33,2.16,1,At-Target,1
2015-10-31,FOODS_1_049_TX_2_evaluation,0.0,1.0,-1.0,3.0,0.1042,66.3,High,Escalate to Procurement,5.33,2.95,1,At-Target,1
2015-11-01,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1043,68.1,Medium,Manual Review,5.33,3.38,1,At-Target,1
2015-11-02,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1044,68.1,High,Escalate to Procurement,5.33,2.67,1,At-Target,1
2015-11-03,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1045,68.1,High,Escalate to Procurement,5.33,2.67,1,At-Target,1
2015-11-04,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1046,68.1,High,Escalate to Procurement,5.33,2.64,1,At-Target,1
2015-11-05,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1047,68.0,High,Escalate to Procurement,5.33,2.75,1,At-Target,1
2015-11-06,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1048,68.0,High,Escalate to Procurement,5.33,2.64,1,At-Target,1
2015-11-07,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1049,68.0,High,Escalate to Procurement,5.33,2.93,1,At-Target,1
2015-11-08,FOODS_1_049_TX_2_evaluation,3.0,0.0,-2.0,2.0,0.105,66.3,High,Escalate to Procurement,5.33,2.9,1,At-Target,0
2015-11-09,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1041,66.3,High,Escalate to Procurement,5.33,2.64,1,At-Target,1
2015-11-10,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1042,66.3,High,Escalate to Procurement,5.33,2.64,1,At-Target,1
2015-11-11,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1043,66.3,High,Escalate to Procurement,5.33,2.64,1,At-Target,1
2015-11-12,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1044,66.3,High,Escalate to Procurement,5.33,2.58,1,At-Target,1
2015-11-13,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1045,66.3,High,Escalate to Procurement,5.33,2.65,1,At-Target,1
2015-11-14,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1046,66.3,High,Escalate to Procurement,5.33,2.67,1,At-Target,1
2015-11-15,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1047,68.0,High,Escalate to Procurement,5.33,2.61,1,At-Target,1
2015-11-16,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1048,68.0,High,Escalate to Procurement,5.33,2.57,1,At-Target,1
2015-11-17,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1049,68.0,High,Escalate to Procurement,5.33,2.57,1,At-Target,1
2015-11-18,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.105,68.0,High,Escalate to Procurement,5.33,2.56,1,At-Target,1
2015-11-19,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1051,68.0,High,Escalate to Procurement,5.33,2.56,1,At-Target,1
2015-11-20,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1052,68.0,High,Escalate to Procurement,5.34,2.52,1,At-Target,1
2015-11-21,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1053,68.0,High,Escalate to Procurement,5.34,2.52,1,At-Target,1
2015-11-22,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1054,68.0,High,Escalate to Procurement,5.34,2.49,1,At-Target,1
2015-11-23,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1055,68.0,High,Escalate to Procurement,5.34,2.56,1,At-Target,1
2015-11-24,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1056,68.0,High,Escalate to Procurement,5.34,1.5,1,At-Target,1
2015-11-25,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1057,68.0,High,Escalate to Procurement,5.34,1.48,1,At-Target,1
2015-11-26,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1058,68.0,High,Escalate to Procurement,5.34,1.71,1,At-Target,1
2015-11-27,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1059,68.0,High,Escalate to Procurement,5.34,1.71,1,At-Target,1
2015-11-28,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.106,68.0,High,Escalate to Procurement,5.34,1.85,1,At-Target,1
2015-11-29,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1061,68.0,High,Escalate to Procurement,5.34,1.86,1,At-Target,1
2015-11-30,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1062,68.0,High,Escalate to Procurement,5.34,1.77,1,At-Target,1
2015-12-01,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1063,68.0,High,Escalate to Procurement,5.34,2.29,1,At-Target,1
2015-12-02,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1064,68.0,High,Escalate to Procurement,5.34,1.37,1,At-Target,1
2015-12-03,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1065,68.0,High,Escalate to Procurement,5.34,1.37,1,At-Target,1
2015-12-04,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1066,68.0,High,Escalate to Procurement,5.34,1.36,1,At-Target,1
2015-12-05,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1067,68.0,High,Escalate to Procurement,5.34,1.58,1,At-Target,1
2015-12-06,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1068,69.8,High,Escalate to Procurement,5.34,1.52,1,At-Target,1
2015-12-07,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1069,69.8,High,Escalate to Procurement,5.34,0.78,1,At-Target,1
2015-12-08,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.107,69.8,High,Escalate to Procurement,5.34,0.74,1,At-Target,1
2015-12-09,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1071,69.8,High,Escalate to Procurement,5.35,0.74,1,At-Target,1
2015-12-10,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1072,69.7,High,Escalate to Procurement,5.35,0.7,1,At-Target,1
2015-12-11,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1073,69.7,High,Escalate to Procurement,5.35,0.73,1,At-Target,1
2015-12-12,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1074,69.7,High,Escalate to Procurement,5.35,1.3,1,At-Target,1
2015-12-13,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1075,69.7,High,Escalate to Procurement,5.35,1.31,1,At-Target,1
2015-12-14,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1076,84.7,High,Escalate to Procurement,5.35,0.69,0,At-Target,1
2015-12-15,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1077,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-16,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1078,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-17,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1079,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-18,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.108,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-19,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1081,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-20,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1082,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-21,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1083,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-22,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1084,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-23,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1085,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-24,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1086,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-25,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1087,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-26,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1088,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-27,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1089,84.7,Low,Standard Reorder,5.35,0.0,0,At-Target,1
2015-12-28,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.109,84.7,Low,Standard Reorder,5.36,0.0,0,At-Target,1
2015-12-29,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1091,84.7,Low,Standard Reorder,5.36,0.0,0,At-Target,1
2015-12-30,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1092,84.7,Low,Standard Reorder,5.36,0.0,0,At-Target,1
2015-12-31,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1093,84.7,Low,Standard Reorder,5.36,0.0,0,At-Target,1
2016-01-01,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1094,84.7,Low,Standard Reorder,5.36,0.0,0,At-Target,1
2016-01-02,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1095,84.7,Low,Standard Reorder,5.36,0.0,0,At-Target,1
2016-01-03,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1096,84.7,Low,Standard Reorder,5.36,0.0,0,At-Target,1
2016-01-04,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1097,69.7,Low,Manual Review,5.36,0.0,1,At-Target,1
2016-01-05,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1098,69.7,High,Escalate to Procurement,5.36,2.55,1,At-Target,1
2016-01-06,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1099,69.7,High,Escalate to Procurement,5.36,2.55,1,At-Target,1
2016-01-07,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.11,69.6,High,Escalate to Procurement,5.36,2.55,1,At-Target,1
2016-01-08,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1101,69.6,High,Escalate to Procurement,5.36,2.55,1,At-Target,1
2016-01-09,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1102,69.6,High,Escalate to Procurement,5.36,2.94,1,At-Target,1
2016-01-10,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1103,69.6,High,Escalate to Procurement,5.36,2.94,1,At-Target,1
2016-01-11,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1104,69.6,High,Escalate to Procurement,5.36,2.42,1,At-Target,1
2016-01-12,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1105,69.6,High,Escalate to Procurement,5.36,1.29,1,At-Target,1
2016-01-13,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1106,69.6,High,Escalate to Procurement,5.36,1.35,1,At-Target,1
2016-01-14,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1107,69.6,High,Escalate to Procurement,5.36,1.35,1,At-Target,1
2016-01-15,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1108,69.6,High,Escalate to Procurement,5.36,1.35,1,At-Target,1
2016-01-16,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1109,69.6,High,Escalate to Procurement,5.37,1.4,1,At-Target,1
2016-01-17,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.111,69.6,High,Escalate to Procurement,5.37,1.4,1,At-Target,1
2016-01-18,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1111,69.6,High,Escalate to Procurement,5.37,1.29,1,At-Target,1
2016-01-19,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1112,69.6,High,Escalate to Procurement,5.37,1.29,1,At-Target,1
2016-01-20,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1113,69.6,High,Escalate to Procurement,5.37,1.35,1,At-Target,1
2016-01-21,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1114,69.6,High,Escalate to Procurement,5.37,1.35,1,At-Target,1
2016-01-22,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1115,69.6,High,Escalate to Procurement,5.37,1.35,1,At-Target,1
2016-01-23,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1116,69.6,High,Escalate to Procurement,5.37,1.4,1,At-Target,1
2016-01-24,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1117,69.6,High,Escalate to Procurement,5.37,1.4,1,At-Target,1
2016-01-25,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1118,69.6,High,Escalate to Procurement,5.37,1.29,1,At-Target,1
2016-01-26,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1119,69.6,High,Escalate to Procurement,5.37,1.29,1,At-Target,1
2016-01-27,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.112,69.6,High,Escalate to Procurement,5.37,1.35,1,At-Target,1
